Tweets	Followers	Friends	Happy	Sad
6488	317	180	0.480856	0.519144
1227	114	106	0.480856	0.519144
335	3271	2886	0.480927	0.519073
115	25	29	0.480856	0.519144
1869	91	71	0.970588	0.029412
467	144	313	0.480856	0.519144
2561	641	1034	0.480856	0.519144
45	22	43	0.480856	0.519144
688	53	61	0.480856	0.519144
5006	1398	550	0.480856	0.519144
267	16	10	0.970588	0.029412
1451	164	205	0.480856	0.519144
6841	146	144	0.480856	0.519144
225	89	299	0.970588	0.029412
741	33	9	0.480856	0.519144
19	6	28	0.480927	0.519073
18	4	5	0.480856	0.519144
500	119	205	0.480856	0.519144
4640	803	822	0.480856	0.519144
225	38	32	0.480856	0.519144
177	101	56	0.480856	0.519144
48367	7236	809	0.480856	0.519144
92	193	136	0.480856	0.519144
1379	1633	372	0.970588	0.029412
300	73	49	0.480856	0.519144
1223	162	242	0.480856	0.519144
748	266	43	0.970588	0.029412
2523	694	272	0.480856	0.519144
1355	319	178	0.480856	0.519144
4240	144	29	0.480856	0.519144
142	25	28	0.480856	0.519144
1194	67	45	0.970588	0.029412
4402	254	461	0.480856	0.519144
2750	470	196	0.970596	0.029404
1619	104	92	0.480856	0.519144
437	36	34	0.970588	0.029412
788	0	0	0.480856	0.519144
334	22	53	0.480856	0.519144
420	112	537	0.480856	0.519144
22	11	47	0.480856	0.519144
147	240	671	0.480856	0.519144
1492	57	67	0.480856	0.519144
77	45	82	0.480856	0.519144
916	38	81	0.480856	0.519144
1404	153	90	0.480856	0.519144
1501	468	270	0.480856	0.519144
1457	300	68	0.480856	0.519144
2706	17	3	0.970588	0.029412
837	479	525	0.970596	0.029404
663	77	181	0.480856	0.519144
1946	71	147	0.480856	0.519144
277	23	44	0.480856	0.519144
3549	259	215	0.480856	0.519144
463	518	373	0.480856	0.519144
677	100	214	0.970588	0.029412
2942	27	45	0.999150	0.000850
6659	564	0	0.999150	0.000850
1216	90	81	0.480856	0.519144
1864	133	75	0.480856	0.519144
92	32	4	0.480856	0.519144
210	21	52	0.970588	0.029412
119	126	6	0.970588	0.029412
624	43	12	0.480856	0.519144
944	127	192	0.970588	0.029412
